date,added_ticker,removed_ticker
2022-02-01,NDSN,XLNX
2022-02-01,,GPS
2022-02-01,CEG,
2021-12-01,SBNY,LEG
2021-12-01,SEDG,HBI
2021-12-01,FDS,WU
2021-12-01,EPAM,KSU
2021-09-01,MTCH,PRGO
2021-09-01,CDAY,UNM
2021-09-01,BRO,NOV
2021-08-01,TECH,MXIM
2021-07-01,MRNA,ALXN
2021-06-01,,HFC
2021-06-01,OGN,
2021-05-01,CRL,FLIR
2021-04-01,PTC,VAR
2021-03-01,NXPI,FLS
2021-03-01,PENN,SLG
2021-03-01,GNRC,XRX
2021-03-01,CZR,VNT
2021-02-01,MPWR,FTI
2021-01-01,TRMB,CXO
2021-01-01,ENPH,TIF
2020-12-01,TSLA,AIV
2020-10-01,,NBL
2020-10-01,VNT,
2020-10-01,POOL,ETFC
2020-09-01,ETSY,HRB
2020-09-01,TER,COTY
2020-09-01,CTLT,KSS
2020-06-01,BIO,ADS
2020-06-01,TDY,HOG
2020-06-01,TYL,JWN
2020-05-01,WST,HP
2020-05-01,DPZ,CPRI
2020-05-01,DXCM,AGN
2020-04-01,,M
2020-04-01,,RTN
2020-04-01,OTIS,
2020-04-01,CARR,
2020-04-01,HWM,ARNC
2020-03-01,IR,XEC
2020-01-01,PAYC,WCG
2019-12-01,LYV,AMG
2019-12-01,ZBRA,TRIP
2019-12-01,STE,MAC
2019-12-01,ODFL,STI
2019-12-01,WRB,VIAB
2019-11-01,NOW,CELG
2019-10-01,LVS,NKTR
2019-09-01,NVR,JEF
2019-09-01,CDW,TSS
2019-08-01,LDOS,APC
2019-08-01,IEX,FL
2019-07-01,TMUS,RHT
2019-07-01,MKTX,LLL
2019-06-01,AMCR,MAT
2019-06-01,DD,DWDP
2019-06-01,CTVA,FLR
2019-04-01,DOW,BHF
2019-02-01,WAB,GT
2019-02-01,ATO,NFX
2019-01-01,TFX,PCG
2019-01-01,FRC,SCG
2018-12-01,CE,ESRX
2018-12-01,LW,COL
2018-12-01,MXIM,AET
2018-12-01,FANG,SRCL
2018-11-01,JKHY,EQT
2018-11-01,KEYS,CA
2018-10-01,FTNT,EVHC
2018-10-01,ROL,ANDV
2018-09-01,WCG,XL
2018-08-01,ANET,GGP
2018-07-01,CPRT,DPS
2018-06-01,FLT,TWX
2018-06-01,BR,RRC
2018-06-01,HFC,AYI
2018-06-01,TWTR,MON
2018-06-01,EVRG,NAVI
2018-05-01,ABMD,WYN
2018-04-01,MSCI,CSRA
2018-03-01,TTWO,SIG
2018-03-01,SIVB,PDCO
2018-03-01,NKTR,CHK
2018-03-01,IPGP,SNI
2018-01-01,HII,BCR
2017-10-01,NCLH,LVLT
2017-09-01,CDNS,SPLS
2017-09-01,DWDP,DOW
2017-09-01,SBAC,DD
2017-08-01,Q,WFM
2017-08-01,BHF,AN
2017-07-01,DRE,RIG
2017-07-01,AOS,BBBY
2017-07-01,PKG,MUR
2017-07-01,RMD,MNK
2017-07-01,MGM,RAI
2017-06-01,HLT,YHOO
2017-06-01,ALGN,TDC
2017-06-01,ANSS,R
2017-06-01,RE,MJN
2017-06-01,INFO,TGNA
2017-04-01,IT,DNB
2017-04-01,DXC,SWN
2017-03-01,AMD,URBN
2017-03-01,RJF,FTR
2017-03-01,ARE,FSLR
2017-03-01,SNPS,HAR
2017-03-01,DISH,LLTC
2017-03-01,REG,ENDP
2017-03-01,CBOE,PBI
2017-02-01,INCY,SE
2017-01-01,IDXX,STJ
2016-12-01,MAA,OI
2016-12-01,EVHC,LM
2016-11-01,ARNC,AA
2016-09-01,COTY,DO
2016-09-01,COO,HOT
2016-09-01,CHTR,EMC
2016-09-01,MTD,TYC
2016-07-01,FTV,CPGX
2016-07-01,LNT,GAS
2016-07-01,ALB,TE
2016-06-01,FBHS,CVC
2016-06-01,TDG,BXLT
2016-05-01,AJG,CCE
2016-05-01,LKQ,ARG
2016-05-01,DLR,TWC
2016-05-01,ALK,SNDK
2016-05-01,AYI,ADT
2016-04-01,GPN,GME
2016-04-01,ULTA,THC
2016-04-01,UA,
2016-04-01,FL,CAM
2016-03-01,HOLX,POM
2016-03-01,CNC,ESV
2016-03-01,UDR,GMCR
2016-03-01,AWK,CNX
2016-02-01,CXO,PCL
2016-02-01,CFG,PCP
2016-02-01,FRT,BRCM
2016-01-01,EXR,ACE
2016-01-01,WLTW,FOSL
2015-12-01,CHD,ALTR
2015-12-01,,CMCSK
2015-12-01,CSRA,CSC
2015-11-01,ILMN,SIAL
2015-11-01,SYF,GNW
2015-11-01,HPE,HCBK
2015-10-01,VRSK,JOY
2015-09-01,CMCSK,
2015-09-01,FOX,
2015-09-01,NWS,
2015-09-01,UAL,HSP
2015-08-01,ATVI,PLL
2015-07-01,SIG,DTV
2015-07-01,PYPL,NE
2015-07-01,AAP,FDO
2015-07-01,KHC,KRFT
2015-07-01,CPGX,ATI
2015-07-01,JBHT,TEG
2015-07-01,BXLT,QEP
2015-06-01,QRVO,LO
2015-04-01,O,WIN
2015-03-01,AAL,AGN
2015-03-01,EQIX,DNR
2015-03-01,SLG,NBR
2015-03-01,HBI,AVP
2015-03-01,HSIC,CFN
2015-03-01,SWKS,PETM
2015-01-01,HCA,SWY
2015-01-01,ENDP,COV
2014-12-01,RCL,BMS
2014-11-01,LVLT,JBL
2014-09-01,URI,BTU
2014-09-01,UHS,GHC
2014-08-01,MNK,RDC
2014-08-01,DISCK,
2014-07-01,MLM,X
2014-07-01,AMG,FRX
2014-06-01,XEC,IGT
2014-05-01,AVGO,LSI
2014-05-01,UAA,BEAM
2014-05-01,NAVI,SLM
2014-04-01,GOOGL,
2014-04-01,ESS,CLF
2014-03-01,GMCR,WPX
2014-01-01,TSCO,LIFE
2013-12-01,ADS,ANF
2013-12-01,MHK,JDSU
2013-12-01,FB,TER
2013-12-01,GGP,MOLX
2013-12-01,ALLE,JCP
2013-11-01,KORS,NYX
2013-10-01,RIG,DELL
2013-09-01,VRTX,AMD
2013-09-01,AME,SAI
2013-09-01,DAL,BMC
2013-07-01,NLSN,S
2013-06-01,FOXA,APOL
2013-06-01,ZTS,FHN
2013-06-01,GM,HNZ
2013-05-01,KSU,DF
2013-05-01,MAC,CVH
2013-04-01,REGN,PCS
2013-02-01,PVH,BIG
2012-12-01,ABBV,FII
2012-12-01,DLPH,TIE
2012-12-01,GRMN,RRD
2012-12-01,DG,CBE
2012-10-01,PETM,SUN
2012-10-01,KRFT,ANR
2012-10-01,ADT,LXK
2012-10-01,PNR,DV
2012-09-01,LYB,SHLD
2012-07-01,ESV,GR
2012-07-01,STX,PGN
2012-06-01,MNST,SLE
2012-06-01,LRCX,NVLS
2012-05-01,ALXN,MMI
2012-05-01,KMI,EP
2012-04-01,PSX,SVU
2012-04-01,FOSL,MHS
2012-03-01,CCI,CEG
2011-12-01,WPX,CPWR
2011-12-01,TRIP,TLAB
2011-12-01,BWA,AKS
2011-12-01,PRGO,MWW
2011-12-01,DLTR,WFR
2011-12-01,GAS,GAS
2011-11-01,CBE,JNS
2011-10-01,XYL,ITT
2011-10-01,TEL,CEPH
2011-09-01,MOS,NSM
2011-07-01,ACN,MI
2011-06-01,MPC,RSH
2011-06-01,ANR,MEE
2011-04-01,CMG,NOVL
2011-04-01,BLK,GENZ
2011-03-01,EW,Q
2011-02-01,COV,MFE
2011-02-01,JOY,AYE
2010-12-01,CVC,KG
2010-12-01,FFIV,EK
2010-12-01,NFLX,ODP
2010-12-01,NFX,NYT
2010-11-01,IR,PTV
2010-08-01,TYC,SII
2010-07-01,CB,MIL
2010-06-01,QEP,STR
2010-06-01,KMX,XTO
2010-04-01,CERN,BJS
2010-02-01,HP,RX
2009-12-01,V,CIEN
2009-12-01,MJN,DYN
2009-12-01,CLF,KBH
2009-12-01,SAI,CVG
2009-12-01,ROST,MBI
2009-11-01,PCLN,SGP
2009-09-01,ARG,CBE
2009-03-01,HRL,ACAS
2009-03-01,VTR,JNY
2008-12-01,OI,WB
2008-09-01,HRS,LEH
2008-09-01,CRM,FRE
2008-09-01,FAST,FNM
2008-06-01,COG,BC
2008-06-01,MEE,OMX
2008-06-01,LO,ABK
2007-12-01,RRC,TRB
2007-12-01,GME,DJ
2007-10-01,JEC,AV
2007-10-01,EXPE,SLR
2007-10-01,TDC,NCR
2007-09-01,TSO,MXIM
2007-09-01,ICE,FDC
2007-08-01,LUK,KSE
2007-03-01,KFT,TSG
2007-01-01,AVB,SBL
2006-06-01,JNPR,ABS
2005-11-01,AMZN,T
2005-07-01,STZ,GLK
2003-09-01,ESRX,QTRN
2000-12-01,INTU,BS
2000-12-01,SBL,OI
2000-12-01,AYE,GRA
2000-12-01,ABK,CCK
2000-07-01,JDSU,RAD
1999-12-01,YHOO,LDW
